tig50, qpua_pk50, sea, co
28.953812,289.653931,771.729309,0.051081
28.873016,289.946259,737.320129,0.051080
28.787834,290.251678,698.216980,0.051079
28.697273,290.573456,653.792419,0.051076
28.600609,290.914185,604.168274,0.051072
28.497887,291.274231,550.723511,0.051068
28.390205,291.650482,495.996155,0.051062
28.279049,292.038635,442.356934,0.051056
28.165112,292.437012,390.726074,0.051049
28.048059,292.846863,340.835907,0.051041
27.927559,293.268463,292.475403,0.051033
27.804619,293.696655,246.549454,0.051024
27.682220,294.118896,205.039719,0.051014
27.564030,294.520233,169.474213,0.051004
27.451752,294.891968,139.540695,0.050993
27.344349,295.234711,113.877892,0.050982
27.241859,295.544678,92.448547,0.050971
27.149845,295.796539,76.782112,0.050959
27.073795,295.966064,66.809761,0.050948
27.012470,296.059235,60.618858,0.050936
26.961765,296.095428,56.571564,0.050925
26.918329,296.091278,53.751915,0.050914
26.879932,296.058197,51.678574,0.050903
26.845139,296.003845,50.087646,0.050892
26.812979,295.933380,48.825451,0.050880
26.782806,295.850647,47.797119,0.050869
26.754158,295.758301,46.941116,0.050858
26.726688,295.658417,46.215866,0.050847
26.700153,295.552612,45.592232,0.050836
26.674362,295.442017,45.049175,0.050824
26.649166,295.327698,44.571178,0.050813
26.624451,295.210388,44.146454,0.050802
26.600132,295.090698,43.765961,0.050790
26.576134,294.969208,43.422585,0.050779
26.552404,294.846313,43.110699,0.050767
26.528900,294.722382,42.825779,0.050756
26.505581,294.597748,42.564106,0.050744
26.482422,294.472595,42.322647,0.050733
26.459408,294.347198,42.098881,0.050721
26.436512,294.221741,41.890686,0.050709
26.413731,294.096375,41.696278,0.050697
26.391048,293.971222,41.514149,0.050686
26.368462,293.846405,41.342979,0.050674
26.345963,293.721985,41.181671,0.050661
26.323555,293.598114,41.029259,0.050649
26.301233,293.474823,40.884884,0.050637
26.279015,293.352203,40.747826,0.050625
26.256886,293.230225,40.617424,0.050612
26.234852,293.109009,40.493118,0.050600
26.212934,292.988586,40.374405,0.050587
26.191120,292.868958,40.260834,0.050575
26.169426,292.750153,40.152004,0.050562
26.147856,292.632263,40.047562,0.050549
26.126423,292.515198,39.947174,0.050536
26.105133,292.399017,39.850567,0.050523
26.083996,292.283752,39.757469,0.050509
26.063019,292.169403,39.667648,0.050496
26.042210,292.055939,39.580891,0.050483
26.021591,291.943420,39.497002,0.050469
26.001156,291.831787,39.415802,0.050455
25.980934,291.721069,39.337128,0.050442
25.960922,291.611298,39.260834,0.050428
25.941137,291.502441,39.186779,0.050414
25.921581,291.394501,39.114845,0.050400
25.902283,291.287476,39.044903,0.050385
25.883238,291.181305,38.976868,0.050371
25.864479,291.076080,38.910618,0.050357
25.845989,290.971741,38.846077,0.050342
25.827805,290.868286,38.783157,0.050327
25.809925,290.765686,38.721775,0.050312
25.792366,290.663971,38.661865,0.050297
25.775146,290.563110,38.603355,0.050282
25.758263,290.463104,38.546181,0.050267
25.741741,290.363953,38.490288,0.050252
25.725590,290.265625,38.435612,0.050237
25.709812,290.168121,38.382111,0.050221
25.694435,290.071472,38.329727,0.050205
25.679462,289.975586,38.278427,0.050190
25.664909,289.880493,38.228157,0.050174
25.650784,289.786194,38.178879,0.050158
25.637104,289.692688,38.130562,0.050142
25.623873,289.599976,38.083160,0.050126
25.611111,289.507965,38.036644,0.050109
25.598820,289.416779,37.990982,0.050093
25.587029,289.326263,37.946148,0.050076
25.575729,289.236542,37.902111,0.050060
25.564936,289.147491,37.858841,0.050043
25.554678,289.059174,37.816322,0.050026
25.544937,288.971558,37.774513,0.050010
25.535751,288.884674,37.733406,0.049993
25.527119,288.798431,37.692970,0.049976
25.519051,288.712891,37.653194,0.049958
25.511559,288.627991,37.614052,0.049941
