tig50, qpua_pk50, sea, co
30.513975,831.819397,233.732742,0.020086
30.489449,828.213440,229.499100,0.020084
30.469379,824.637268,225.305649,0.020082
30.453712,821.091125,221.153534,0.020080
30.442406,817.575073,217.045975,0.020078
30.435394,814.089539,212.988617,0.020076
30.432621,810.634583,208.989944,0.020074
30.434013,807.210754,205.061203,0.020071
30.439482,803.817993,201.216690,0.020069
30.448956,800.456970,197.473083,0.020067
30.462326,797.127747,193.848221,0.020065
30.479507,793.830872,190.359848,0.020063
30.500389,790.566711,187.023544,0.020061
30.524857,787.335266,183.851273,0.020058
30.552803,784.137085,180.849960,0.020056
30.584110,780.972107,178.021011,0.020054
30.618683,777.840515,175.360519,0.020052
30.656412,774.742126,172.860031,0.020050
30.697210,771.677185,170.507660,0.020048
30.740978,768.645264,168.289383,0.020046
30.787647,765.646240,166.190125,0.020044
30.837141,762.680115,164.194595,0.020042
30.889397,759.746277,162.288147,0.020040
30.944344,756.844604,160.457077,0.020039
31.001945,753.974915,158.688889,0.020037
31.062138,751.136963,156.972488,0.020035
31.124874,748.330383,155.298203,0.020033
31.190113,745.555115,153.657776,0.020031
31.257805,742.810730,152.044357,0.020030
31.327919,740.097107,150.452469,0.020028
31.400398,737.414001,148.877930,0.020026
31.475201,734.761292,147.317825,0.020024
31.552288,732.138794,145.770508,0.020022
31.631603,729.546326,144.235397,0.020021
31.713100,726.983826,142.712982,0.020019
31.796719,724.450928,141.204575,0.020017
31.882416,721.947571,139.712296,0.020015
31.970116,719.474060,138.238693,0.020014
32.059784,717.029602,136.786667,0.020012
32.151325,714.614502,135.359268,0.020010
32.244698,712.228455,133.959351,0.020008
32.339828,709.871277,132.589584,0.020007
32.436649,707.542908,131.252213,0.020005
32.535099,705.243042,129.949036,0.020003
32.635105,702.971619,128.681305,0.020002
32.736610,700.728149,127.449753,0.020000
32.839546,698.512817,126.254623,0.019998
32.943863,696.324951,125.095711,0.019997
33.049488,694.164429,123.972389,0.019995
33.156368,692.031006,122.883759,0.019994
33.264446,689.924377,121.828682,0.019992
33.373657,687.844177,120.805809,0.019991
33.483963,685.790161,119.813705,0.019989
33.595303,683.761902,118.850868,0.019988
33.707623,681.759277,117.915741,0.019986
33.820877,679.781860,117.006836,0.019985
33.935017,677.829285,116.122604,0.019983
34.049992,675.901062,115.261642,0.019982
34.165752,673.997131,114.422585,0.019980
34.282265,672.117004,113.604073,0.019979
34.399464,670.260498,112.804932,0.019978
34.517315,668.427002,112.024010,0.019976
34.635769,666.616394,111.260216,0.019975
34.754791,664.828369,110.512604,0.019973
34.874329,663.062439,109.780220,0.019972
34.994354,661.318420,109.062256,0.019971
35.114815,659.595886,108.357925,0.019970
35.235668,657.894531,107.666557,0.019968
35.356876,656.214172,106.987427,0.019967
35.478401,654.554321,106.320015,0.019966
35.600204,652.914673,105.663719,0.019964
35.722256,651.295105,105.018074,0.019963
35.844501,649.695068,104.382607,0.019962
35.966919,648.114319,103.756882,0.019961
36.089470,646.552673,103.140541,0.019959
36.212112,645.009705,102.533203,0.019958
36.334824,643.485107,101.934563,0.019957
36.457569,641.978699,101.344292,0.019956
36.580303,640.490112,100.762108,0.019955
36.703003,639.019104,100.187782,0.019954
36.825649,637.565369,99.621040,0.019952
36.948193,636.128662,99.061661,0.019951
37.070618,634.708618,98.509438,0.019950
37.192894,633.305115,97.964165,0.019949
37.314995,631.917725,97.425667,0.019948
37.436886,630.546265,96.893776,0.019947
37.558548,629.190491,96.368309,0.019945
37.679943,627.850159,95.849098,0.019944
37.801067,626.524902,95.336021,0.019943
37.921898,625.214600,94.828903,0.019942
38.042400,623.918884,94.327629,0.019941
38.162563,622.637634,93.832069,0.019940
38.282356,621.370544,93.342064,0.019939
38.401772,620.117371,92.857521,0.019938
38.520771,618.877930,92.378319,0.019937
38.639366,617.651978,91.904320,0.019936
38.757515,616.439270,91.435455,0.019935
38.875206,615.239685,90.971550,0.019934
38.992424,614.052917,90.512558,0.019933
39.109169,612.878601,90.058350,0.019932
39.225407,611.716858,89.608833,0.019931
39.341137,610.567200,89.163902,0.019930
39.456341,609.429504,88.723457,0.019929
39.571011,608.303711,88.287415,0.019928
39.685127,607.189453,87.855698,0.019927
39.798691,606.086487,87.428177,0.019926
39.911690,604.994934,87.004799,0.019925
40.024109,603.914368,86.585457,0.019924
40.135941,602.844482,86.170082,0.019923
40.247185,601.785400,85.758583,0.019922
40.357819,600.736755,85.350891,0.019921
40.467850,599.698547,84.946915,0.019920
40.577263,598.670349,84.546577,0.019919
40.686058,597.652161,84.149818,0.019918
40.794228,596.643799,83.756554,0.019917
40.901772,595.645203,83.366707,0.019916
41.008678,594.655945,82.980247,0.019915
41.114956,593.676025,82.597054,0.019914
41.220585,592.705383,82.217087,0.019913
41.325577,591.743774,81.840279,0.019912
41.429916,590.791077,81.466576,0.019911
41.533623,589.847107,81.095901,0.019911
41.636684,588.911743,80.728218,0.019910
41.739090,587.984802,80.363457,0.019909
41.840843,587.066284,80.001564,0.019908
41.941956,586.156006,79.642479,0.019907
42.042423,585.253784,79.286156,0.019906
42.142235,584.359436,78.932564,0.019905
42.241402,583.472900,78.581627,0.019904
42.339924,582.594177,78.233315,0.019903
42.437805,581.722961,77.887566,0.019903
42.535034,580.859314,77.544365,0.019902
42.631645,580.002869,77.203651,0.019901
42.727608,579.153748,76.865387,0.019900
42.822937,578.311707,76.529541,0.019899
42.917633,577.476746,76.196068,0.019898
43.011703,576.648621,75.864944,0.019898
43.105160,575.827332,75.536125,0.019897
43.197990,575.012756,75.209587,0.019896
43.290207,574.204773,74.885300,0.019895
43.381813,573.403259,74.563225,0.019894
43.472809,572.608215,74.243340,0.019894
43.563206,571.819397,73.925629,0.019893
43.653000,571.036804,73.610054,0.019892
43.742210,570.260376,73.296600,0.019891
43.830826,569.489990,72.985237,0.019890
43.918865,568.725586,72.675941,0.019890
44.006332,567.966980,72.368706,0.019889
44.093227,567.214172,72.063499,0.019888
44.179550,566.467102,71.760315,0.019887
44.265327,565.725525,71.459129,0.019886
44.350540,564.989685,71.159927,0.019886
44.435207,564.259216,70.862709,0.019885
44.519341,563.534119,70.567436,0.019884
44.602936,562.814331,70.274101,0.019883
44.685997,562.099792,69.982704,0.019883
44.768543,561.390442,69.693245,0.019882
44.850571,560.686157,69.405685,0.019881
44.932102,559.986938,69.120033,0.019880
45.013119,559.292664,68.836281,0.019880
45.093643,558.603271,68.554405,0.019879
45.173687,557.918640,68.274422,0.019878
45.253246,557.238953,67.996307,0.019877
45.332329,556.563904,67.720070,0.019877
45.410942,555.893494,67.445686,0.019876
45.489098,555.227661,67.173164,0.019875
45.566803,554.566345,66.902504,0.019875
45.644062,553.909485,66.633690,0.019874
45.720879,553.257080,66.366737,0.019873
45.797256,552.609131,66.101631,0.019872
45.873215,551.965332,65.838371,0.019872
45.948753,551.325867,65.576950,0.019871
46.023876,550.690613,65.317383,0.019870
46.098598,550.059509,65.059654,0.019870
46.172920,549.432495,64.803764,0.019869
46.246849,548.809509,64.549736,0.019868
46.320396,548.190613,64.297539,0.019868
46.393562,547.575623,64.047195,0.019867
46.466358,546.964600,63.798691,0.019866
46.538784,546.357422,63.552032,0.019866
46.610867,545.754150,63.307228,0.019865
46.682590,545.154541,63.064270,0.019864
46.753971,544.558777,62.823166,0.019863
46.825020,543.966675,62.583920,0.019863
46.895737,543.378235,62.346519,0.019862
46.966118,542.793518,62.110989,0.019862
47.036186,542.212341,61.877316,0.019861
47.105953,541.634705,61.645500,0.019860
47.175400,541.060608,61.415562,0.019860
47.244556,540.489929,61.187473,0.019859
47.313416,539.922729,60.961258,0.019858
47.381992,539.358948,60.736919,0.019858
47.450283,538.798523,60.514450,0.019857
47.518307,538.241455,60.293858,0.019856
47.586052,537.687683,60.075142,0.019856
47.653553,537.137207,59.858307,0.019855
47.720768,536.590027,59.643353,0.019855
47.787750,536.045959,59.430279,0.019854
47.854485,535.505188,59.219093,0.019853
47.920971,534.967529,59.009789,0.019853
47.987228,534.432983,58.802383,0.019852
48.053265,533.901550,58.596855,0.019851
48.119061,533.373169,58.393215,0.019851
48.184643,532.847839,58.191463,0.019850
48.250011,532.325562,57.991600,0.019850
