tig50, qpua_pk50, sea, co
28.953812,289.653931,771.729309,0.051081
28.791153,290.247192,700.763733,0.051079
28.609020,290.900299,610.533630,0.051074
28.402411,291.630585,504.209412,0.051064
28.177849,292.418518,397.782135,0.051051
27.941631,293.247284,298.887268,0.051035
27.693027,294.115662,209.287491,0.051016
27.452785,294.936127,140.462952,0.050996
27.235790,295.633484,91.813087,0.050973
27.052063,296.136414,64.801849,0.050950
26.937281,296.284821,55.137192,0.050927
26.857029,296.242432,50.735466,0.050905
26.792028,296.108582,48.176575,0.050883
26.734959,295.924194,46.476105,0.050860
26.682449,295.709686,45.249325,0.050838
26.632721,295.476532,44.313602,0.050816
26.584747,295.231873,43.570427,0.050793
26.537930,294.980377,42.961731,0.050770
26.491875,294.725220,42.450951,0.050747
26.446362,294.468567,42.013844,0.050724
26.401245,294.212006,41.633698,0.050700
26.356457,293.956726,41.298576,0.050677
26.311966,293.703430,40.999748,0.050653
26.267784,293.452850,40.730629,0.050628
26.223936,293.205292,40.486214,0.050603
26.180458,292.961121,40.262573,0.050578
26.137417,292.720551,40.056602,0.050552
26.094883,292.483704,39.865822,0.050527
26.052925,292.250671,39.688213,0.050500
26.011631,292.021454,39.522110,0.050473
25.971088,291.796143,39.366142,0.050446
25.931377,291.574646,39.219158,0.050418
25.892597,291.356964,39.080185,0.050390
25.854847,291.143036,38.948410,0.050361
25.818211,290.932831,38.823105,0.050332
25.782810,290.726257,38.703690,0.050303
25.748720,290.523193,38.589611,0.050272
25.716042,290.323669,38.480431,0.050242
25.684891,290.127563,38.375732,0.050211
25.655354,289.934753,38.275177,0.050180
25.627522,289.745178,38.178436,0.050148
25.601501,289.558838,38.085247,0.050115
25.577377,289.375488,37.995354,0.050083
25.555252,289.195190,37.908535,0.050050
25.535210,289.017822,37.824600,0.050016
25.517342,288.843323,37.743370,0.049982
25.501728,288.671539,37.664680,0.049948
25.488445,288.502502,37.588379,0.049913
25.477589,288.336090,37.514343,0.049879
25.469219,288.172241,37.442444,0.049843
25.463421,288.010864,37.372581,0.049808
